真实浓度,预测浓度,浓度区间标签,预测浓度区间,风�?259.1,314.16864,2,3,1.48
941.8,868.56067,9,9,1.97,,,,
889,787.3415,8,8,1.48,,,,
52.4,57.937325,0,0,0.52,,,,
259.9,260.94507,2,2,1.97,,,,
862.1,850.52814,8,9,1.48,,,,
523,563.7178,5,5,1.07,,,,
583.8,564.00824,5,6,1.48,,,,
235.6,178.19818,2,1,1.07,,,,
259.1,237.84383,2,2,1.48,,,,
439.5,412.50662,4,4,1.97,,,,
643.5,599.6191,6,6,0.52,,,,
59,52.25328,0,0,1.07,,,,
55,47.564842,0,0,0.52,,,,
523,610.50305,5,6,1.07,,,,
764.8,821.7642,7,8,1.07,,,,
236.5,232.57794,2,2,0.52,,,,
362.9,378.2137,3,3,0.23,,,,
349.2,345.16714,3,3,1.48,,,,
264.4,148.09964,2,1,1.07,,,,
936.9,722.84796,9,7,0.52,,,,
256.1,217.10616,2,2,0.23,,,,
238.6,308.7135,2,2,0.23,,,,
357.5,345.39026,3,3,0.23,,,,
467.2,403.4824,4,4,1.97,,,,
357.6,374.19046,3,3,0.52,,,,
55,50.98478,0,0,0.52,,,,
756.9,779.5015,7,8,1.07,,,,
236.5,232.58704,2,2,0.52,,,,
457,614.78503,4,6,0.52,,,,
233.8,209.49808,2,2,1.48,,,,
475.9,429.60858,4,4,1.48,,,,
828.7,728.3625,8,7,1.97,,,,
121.9,94.55643,1,1,1.48,,,,
233.8,253.50897,2,2,1.48,,,,
773.5,780.48615,7,7,1.97,,,,
349.2,311.88028,3,3,1.48,,,,
761.3,750.1577,7,7,1.97,,,,
23.8,35.710094,0,0,1.97,,,,
839.9,852.20667,8,8,0.23,,,,
235.6,222.74115,2,2,1.07,,,,
53.9,51.809467,0,0,1.07,,,,
152.3,152.8582,1,1,0.52,,,,
647.9,669.9787,6,6,1.97,,,,
967.6,836.36487,9,8,0.23,,,,
452.2,439.31375,4,4,0.23,,,,
535.8,502.01492,5,5,1.48,,,,
853.5,779.29767,8,7,0.23,,,,
650,618.88885,6,6,0.23,,,,
747,701.955,7,7,0.52,,,,
523,534.37787,5,5,1.07,,,,
535.1,590.6296,5,5,0.23,,,,
148.5,127.74415,1,1,1.07,,,,
862.1,811.5637,8,8,1.48,,,,
627.6,634.2727,6,6,0.52,,,,
579.6,507.67358,5,5,1.97,,,,
23.8,49.358475,0,0,1.97,,,,
973.9,936.80615,9,9,1.07,,,,
523,610.3953,5,6,1.07,,,,
142.4,153.57698,1,1,0.23,,,,
867.6,742.20496,8,7,0.52,,,,
372.9,375.8647,3,3,0.52,,,,
546.9,572.72723,5,5,0.52,,,,
579.6,625.441,5,6,1.97,,,,
985.3,968.72394,9,9,1.97,,,,
955.3,967.5076,9,9,1.97,,,,
853.5,891.2348,8,9,0.23,,,,
640.4,760.1114,6,7,1.48,,,,
738.7,770.8832,7,8,1.48,,,,
370.1,422.5491,3,4,1.07,,,,
61.8,46.086403,0,0,1.97,,,,
23.8,40.58348,0,0,1.97,,,,
523,581.8461,5,5,1.07,,,,
336.5,307.46454,3,3,1.07,,,,
637.4,565.9811,6,5,0.52,,,,
259.9,225.07996,2,2,1.97,,,,
462.5,423.90506,4,4,0.23,,,,
121.9,126.748,1,1,1.48,,,,
965,959.1839,9,9,1.48,,,,
148.5,153.8952,1,1,1.07,,,,
53.9,53.179054,0,0,1.07,,,,
579.6,583.8225,5,5,1.97,,,,
448,462.608,4,4,1.07,,,,
244.7,261.26862,2,2,1.97,,,,
256.1,228.8329,2,2,0.23,,,,
145.3,149.39369,1,1,1.07,,,,
254,277.42087,2,2,0.52,,,,
965,935.03955,9,9,1.48,,,,
181.2,151.45558,1,1,1.48,,,,
336.5,419.3351,3,4,1.07,,,,
43.3,82.200096,0,0,1.48,,,,
583.8,765.45074,5,7,1.48,,,,
523,465.51932,5,4,1.07,,,,
372.9,391.24716,3,4,0.52,,,,
149.7,157.14606,1,1,0.52,,,,
739.8,717.7345,7,7,1.97,,,,
51.4,44.07361,0,0,1.48,,,,
462.5,441.80032,4,4,0.23,,,,
828.7,798.2055,8,8,1.97,,,,
149.7,142.2782,1,1,0.52,,,,
457,421.66815,4,4,0.52,,,,
775.4,653.9887,7,6,1.07,,,,
59,44.88823,0,0,1.07,,,,
972.1,974.7024,9,9,1.48,,,,
523,567.36127,5,5,1.07,,,,
718.5,815.52313,7,8,1.48,,,,
733.5,808.9423,7,8,1.48,,,,
121.9,140.03377,1,1,1.48,,,,
147.6,155.08221,1,1,0.23,,,,
241.1,324.86133,2,3,1.97,,,,
61.8,46.539635,0,0,1.97,,,,
638,727.81464,6,7,1.07,,,,
43.3,54.257248,0,0,1.48,,,,
632.2,606.0467,6,6,1.97,,,,
938,836.9567,9,8,1.97,,,,
653.6,602.8563,6,6,0.52,,,,
651.5,528.1385,6,5,1.48,,,,
748.4,691.66425,7,7,1.48,,,,
569.8,637.13275,5,6,0.23,,,,
747,653.4418,7,6,0.52,,,,
647.9,669.41034,6,6,1.97,,,,
151.4,159.79417,1,1,1.97,,,,
376.2,365.36197,3,3,1.48,,,,
528.7,542.2275,5,5,1.48,,,,
137.6,49.723885,1,0,0.52,,,,
733.5,733.45856,7,7,1.48,,,,
889,866.6345,8,9,1.48,,,,
555.7,632.955,5,6,0.52,,,,
538.4,546.87726,5,5,1.07,,,,
938,931.08105,9,9,1.97,,,,
61.8,62.043293,0,0,1.97,,,,
181.2,155.60385,1,1,1.48,,,,
973.9,980.80023,9,9,1.07,,,,
546.9,705.7176,5,7,0.52,,,,
739.8,618.2508,7,6,1.97,,,,
566.1,490.16513,5,5,1.48,,,,
673.9,699.3485,6,7,1.07,,,,
839.9,724.12885,8,7,0.23,,,,
357.6,347.83722,3,3,0.52,,,,
835,928.7254,8,9,0.52,,,,
973.9,885.3834,9,9,1.07,,,,
927.5,974.1064,9,9,1.48,,,,
955.3,954.54535,9,9,1.97,,,,
467.2,367.4932,4,3,1.97,,,,
789,791.0892,7,7,0.23,,,,
417.8,406.6611,4,4,1.97,,,,
145.3,127.467094,1,1,1.07,,,,
321.3,306.35666,3,3,1.48,,,,
529.7,569.64636,5,5,1.48,,,,
55,38.8925,0,0,0.52,,,,
36.9,85.24334,0,0,0.23,,,,
540.5,468.60034,5,4,0.23,,,,
361.4,428.96082,3,4,0.52,,,,
227,219.40022,2,2,0.52,,,,
241.1,258.68326,2,2,1.97,,,,
789,794.8827,7,7,0.23,,,,
878.1,773.3102,8,7,1.97,,,,
830.9,811.0625,8,8,1.97,,,,
236.5,238.54956,2,2,0.52,,,,
64.6,107.74519,0,1,1.48,,,,
264.4,153.04938,2,1,1.07,,,,
865.8,916.49677,8,9,1.97,,,,
626.2,742.62616,6,7,1.07,,,,
53.9,52.83683,0,0,1.07,,,,
151.4,164.58716,1,1,1.97,,,,
376.2,256.2546,3,2,1.48,,,,
967.6,834.2681,9,8,0.23,,,,
855.1,827.64886,8,8,1.48,,,,
462.5,472.91568,4,4,0.23,,,,
737.6,835.2409,7,8,0.23,,,,
852.3,708.94586,8,7,1.07,,,,
336.8,355.85712,3,3,1.97,,,,
288.6,260.60837,2,2,0.52,,,,
64.6,85.40374,0,0,1.48,,,,
256.1,253.0346,2,2,0.23,,,,
64.6,110.84769,0,1,1.48,,,,
46.4,67.23187,0,0,0.52,,,,
121.9,109.79124,1,1,1.48,,,,
336.8,379.92117,3,3,1.97,,,,
457,606.53656,4,6,0.52,,,,
852.3,820.82745,8,8,1.07,,,,
548.6,525.4583,5,5,0.52,,,,
535.8,602.6066,5,6,1.48,,,,
259.1,272.33264,2,2,1.48,,,,
357.5,339.91513,3,3,0.23,,,,
366.8,399.5494,3,4,1.07,,,,
745.8,689.8931,7,7,0.52,,,,
968.8,773.18536,9,8,1.48,,,,
953.4,936.8979,9,9,0.52,,,,
825.3,710.3516,8,7,1.07,,,,
181.2,157.12119,1,1,1.48,,,,
137.6,144.1394,1,1,0.52,,,,
151.4,160.05817,1,1,1.97,,,,
748.4,710.972,7,7,1.48,,,,
142.4,155.6141,1,1,0.23,,,,
872.5,870.48474,8,8,0.23,,,,
978.8,933.0015,9,9,1.07,,,,
151.4,154.9137,1,1,1.97,,,,
660.1,691.45667,6,6,1.97,,,,
954.1,955.7965,9,9,0.23,,,,
157,181.35736,1,1,0.23,,,,
434.3,440.0355,4,4,1.07,,,,
548.6,519.60223,5,5,0.52,,,,
61.8,44.18696,0,0,1.97,,,,
673.9,796.1129,6,8,1.07,,,,
743.7,710.8962,7,7,0.52,,,,
236.5,154.94644,2,1,0.52,,,,
166.9,155.12326,1,1,1.97,,,,
259.9,239.26793,2,2,1.97,,,,
579.6,605.9622,5,6,1.97,,,,
175.2,224.4034,1,2,0.23,,,,
376.2,346.23996,3,3,1.48,,,,
355.9,350.16763,3,3,1.97,,,,
148.5,130.31007,1,1,1.07,,,,
341.3,315.33423,3,3,0.23,,,,
341.3,382.52994,3,3,0.23,,,,
227,214.11542,2,2,0.52,,,,
568,658.8027,5,6,1.97,,,,
756.9,728.315,7,7,1.07,,,,
973.9,972.76697,9,9,1.07,,,,
862.1,901.3609,8,9,1.48,,,,
848.1,869.8778,8,8,1.97,,,,
775.4,776.946,7,8,1.07,,,,
835,846.9672,8,8,0.52,,,,
336.5,383.31152,3,3,1.07,,,,
569.8,724.0363,5,7,0.23,,,,
443.4,418.41403,4,4,0.52,,,,
448,447.3307,4,4,1.07,,,,
528.7,508.83105,5,5,1.48,,,,
54.4,44.256634,0,0,0.23,,,,
53.9,68.71345,0,0,1.07,,,,
627.6,568.1529,6,5,0.52,,,,
279.4,271.96075,2,2,1.07,,,,
56.6,52.356125,0,0,0.23,,,,
145.9,157.08653,1,1,1.48,,,,
357.6,362.3852,3,3,0.52,,,,
637.4,660.4214,6,6,0.23,,,,
824.9,728.2469,8,7,0.52,,,,
336.8,346.32477,3,3,1.97,,,,
56.6,86.99839,0,0,0.23,,,,
23.8,38.710716,0,0,1.97,,,,
437,371.81808,4,3,0.52,,,,
927.5,817.7039,9,8,1.48,,,,
733.5,749.0079,7,7,1.48,,,,
166.9,152.08243,1,1,1.97,,,,
756.9,724.9285,7,7,1.07,,,,
889,859.0522,8,9,1.48,,,,
828.7,826.0793,8,8,1.97,,,,
53.9,74.67386,0,0,1.07,,,,
637.4,646.0216,6,6,0.52,,,,
61.8,39.55136,0,0,1.97,,,,
52.8,54.277546,0,0,1.07,,,,
358.9,488.90732,3,4,1.97,,,,
52.8,94.334785,0,0,1.07,,,,
255.4,298.5858,2,3,0.52,,,,
236.5,232.99138,2,2,0.52,,,,
146.9,132.96544,1,1,1.07,,,,
51.4,41.96769,0,0,1.48,,,,
660.1,711.6463,6,7,1.97,,,,
151.4,156.19208,1,1,1.97,,,,
879.5,901.3526,8,9,0.23,,,,
650,683.17255,6,6,0.23,,,,
451.1,474.7111,4,4,0.23,,,,
255.4,267.4504,2,2,0.52,,,,
789,799.1599,7,7,0.23,,,,
738.7,569.6154,7,6,1.48,,,,
953.4,928.3371,9,9,0.52,,,,
944.9,942.943,9,9,1.48,,,,
256.1,234.70825,2,2,0.23,,,,
874.6,855.14667,8,8,0.52,,,,
737.6,774.3592,7,7,0.23,,,,
824.9,785.5784,8,8,0.52,,,,
47.5,40.348785,0,0,0.52,,,,
770.4,629.7608,7,6,1.48,,,,
879.5,806.7545,8,8,0.23,,,,
627.6,547.4621,6,5,0.52,,,,
158.9,179.86359,1,1,0.52,,,,
46.8,134.82,0,1,0.52,,,,
23.8,46.461876,0,0,1.97,,,,
538.4,522.83826,5,5,1.07,,,,
653,750.4692,6,7,1.97,,,,
941.8,973.82416,9,9,1.97,,,,
467.2,622.9805,4,6,1.97,,,,
830.9,801.8212,8,8,1.97,,,,
638,651.25287,6,6,1.07,,,,
651.1,745.77313,6,7,0.23,,,,
233.8,236.21567,2,2,1.48,,,,
747,619.42096,7,6,0.52,,,,
151,148.53073,1,1,0.52,,,,
640.4,534.3932,6,5,1.48,,,,
789,740.857,7,7,0.23,,,,
938,964.01337,9,9,1.97,,,,
23.8,38.158096,0,0,1.97,,,,
46.8,65.170555,0,0,0.52,,,,
46.8,54.34288,0,0,0.52,,,,
543.1,620.65643,5,6,0.52,,,,
336.8,348.6782,3,3,1.97,,,,
542,638.7923,5,6,0.23,,,,
145.3,149.17082,1,1,1.07,,,,
457,449.28488,4,4,0.52,,,,
825.3,679.5809,8,7,1.07,,,,
454.4,424.1467,4,4,1.97,,,,
753.2,738.12195,7,7,1.07,,,,
764.8,757.88763,7,7,1.07,,,,
52.4,100.10404,0,1,0.52,,,,
825.3,727.27014,8,7,1.07,,,,
569.8,623.67194,5,6,0.23,,,,
761,779.7277,7,7,0.52,,,,
543.1,674.4676,5,6,0.52,,,,
789,772.82355,7,7,0.23,,,,
357.5,342.97842,3,3,0.23,,,,
151.4,148.85216,1,1,1.97,,,,
372.9,381.2008,3,3,0.52,,,,
64.6,66.856804,0,0,1.48,,,,
51.4,51.319256,0,0,1.48,,,,
965,969.62256,9,9,1.48,,,,
473.7,520.1153,4,5,1.07,,,,
341.3,388.42276,3,3,0.23,,,,
867.6,760.64404,8,7,0.52,,,,
738.7,711.09564,7,7,1.48,,,,
452.2,448.03745,4,4,0.23,,,,
175.2,141.70468,1,1,0.23,,,,
839.9,780.09674,8,7,0.23,,,,
259.9,286.82147,2,2,1.97,,,,
848.1,789.5988,8,7,1.97,,,,
653.6,717.6618,6,7,0.52,,,,
59,59.658524,0,0,1.07,,,,
443.4,402.242,4,4,0.52,,,,
770.4,747.4434,7,7,1.48,,,,
348.5,355.83566,3,3,0.52,,,,
473.7,403.51355,4,4,1.07,,,,
528,469.6057,5,4,1.97,,,,
985.3,943.1226,9,9,1.97,,,,
543.1,631.9152,5,6,0.52,,,,
764.8,813.54425,7,8,1.07,,,,
255.4,254.15073,2,2,0.52,,,,
235.6,172.22943,2,1,1.07,,,,
955.3,968.9714,9,9,1.97,,,,
151.4,184.29272,1,1,1.97,,,,
936.9,911.2167,9,9,0.52,,,,
983.7,960.69293,9,9,1.97,,,,
64.6,73.445335,0,0,1.48,,,,
121.9,214.46526,1,2,1.48,,,,
848.9,855.1002,8,9,1.48,,,,
362.9,383.52264,3,3,0.23,,,,
828.7,836.821,8,8,1.97,,,,
638,661.1192,6,6,1.07,,,,
336.8,346.06686,3,3,1.97,,,,
848.1,847.9049,8,8,1.97,,,,
279.4,266.2814,2,2,1.07,,,,
271.7,311.70737,2,3,0.23,,,,
36.9,105.13877,0,1,0.23,,,,
56.6,49.682743,0,0,0.23,,,,
442.5,337.22025,4,3,1.48,,,,
361.4,388.85678,3,4,0.52,,,,
635.1,734.3415,6,7,0.23,,,,
568,745.4464,5,7,1.97,,,,
151.4,150.36198,1,1,1.97,,,,
773.5,802.384,7,8,1.97,,,,
462.5,455.53323,4,4,0.23,,,,
439,419.62076,4,4,1.97,,,,
121.9,326.9004,1,3,1.48,,,,
447.1,449.6307,4,4,0.52,,,,
636.1,699.8736,6,7,1.07,,,,
848.9,876.71387,8,9,1.48,,,,
254,246.41005,2,2,0.52,,,,
452.2,434.2744,4,4,0.23,,,,
824.9,873.34216,8,8,0.52,,,,
456.2,506.16232,4,5,1.48,,,,
672.9,657.25555,6,6,1.07,,,,
56.6,49.337715,0,0,0.23,,,,
973.9,944.63513,9,9,1.07,,,,
526.5,474.1553,5,4,1.97,,,,
279.4,313.34787,2,3,1.07,,,,
764.8,724.2784,7,7,1.07,,,,
147.6,216.18788,1,2,0.23,,,,
528,540.9352,5,5,1.97,,,,
825.3,826.0584,8,8,1.07,,,,
955.3,951.38525,9,9,1.97,,,,
255.4,211.94196,2,2,0.52,,,,
175.2,160.2158,1,1,0.23,,,,
151,150.32083,1,1,0.52,,,,
265.6,280.53574,2,2,1.48,,,,
36.9,134.92023,0,1,0.23,,,,
627.6,662.7253,6,6,0.52,,,,
626.2,706.72943,6,7,1.07,,,,
376.2,338.98297,3,3,1.48,,,,
651.1,743.58844,6,7,0.23,,,,
761,679.0461,7,6,0.52,,,,
445.9,368.61636,4,3,0.52,,,,
166.9,156.292,1,1,1.97,,,,
764.8,775.2357,7,8,1.07,,,,
739.8,772.25824,7,7,1.97,,,,
566.1,552.9688,5,5,1.48,,,,
955.7,962.9094,9,9,1.07,,,,
457,472.08267,4,4,0.52,,,,
336.5,354.6201,3,3,1.07,,,,
643.5,529.7691,6,5,0.52,,,,
254,207.30414,2,2,0.52,,,,
647.9,731.0374,6,7,1.97,,,,
857.9,802.2155,8,7,0.23,,,,
417.2,450.51804,4,4,1.48,,,,
640.4,550.58636,6,5,1.48,,,,
50.4,51.744514,0,0,0.23,,,,
372.9,415.1218,3,4,0.52,,,,
259.9,232.33951,2,2,1.97,,,,
236.5,216.89444,2,2,0.52,,,,
417.2,495.38986,4,5,1.48,,,,
158.9,136.05844,1,1,0.52,,,,
852.3,875.9763,8,9,1.07,,,,
357.6,309.77072,3,3,0.52,,,,
949.2,916.9626,9,9,0.23,,,,
949.2,927.1465,9,9,0.23,,,,
546.9,561.07513,5,5,0.52,,,,
321.3,358.10773,3,3,1.48,,,,
789,773.4799,7,7,0.23,,,,
955.7,955.93353,9,9,1.07,,,,
358.9,436.86154,3,4,1.97,,,,
51.4,95.496315,0,1,1.48,,,,
738.7,658.46136,7,6,1.48,,,,
442.2,417.33987,4,4,1.48,,,,
417.8,374.35403,4,3,1.97,,,,
626.2,556.5604,6,5,1.07,,,,
358.9,415.2537,3,4,1.97,,,,
878.1,877.2328,8,9,1.97,,,,
968.8,959.1577,9,9,1.48,,,,
64.6,76.27459,0,0,1.48,,,,
941.8,949.8415,9,9,1.97,,,,
321.3,284.2643,3,2,1.48,,,,
473.7,499.88644,4,5,1.07,,,,
756.9,759.1992,7,7,1.07,,,,
953.4,932.1164,9,9,0.52,,,,
526.5,544.353,5,5,1.97,,,,
824.2,929.4656,8,9,1.48,,,,
569.8,587.946,5,5,0.23,,,,
646.2,718.36975,6,7,1.48,,,,
748.4,682.6005,7,7,1.48,,,,
523,583.47687,5,6,1.07,,,,
739.1,758.43,7,7,0.23,,,,
523,498.45212,5,5,1.07,,,,
279.4,280.92044,2,2,1.07,,,,
651.1,779.5461,6,7,0.23,,,,
56.6,46.89337,0,0,0.23,,,,
535.1,548.7192,5,5,0.23,,,,
569.8,685.89825,5,6,0.23,,,,
349.2,400.81097,3,4,1.48,,,,
358.9,422.62375,3,4,1.97,,,,
259.9,224.17865,2,2,1.97,,,,
936.9,920.0692,9,9,0.52,,,,
170,161.76514,1,1,0.23,,,,
739.8,716.14484,7,7,1.97,,,,
862.1,739.35895,8,7,1.48,,,,
938,963.4369,9,9,1.97,,,,
879.5,872.56573,8,9,0.23,,,,
568,612.07404,5,6,1.97,,,,
264.4,227.40503,2,2,1.07,,,,
151,155.02776,1,1,0.52,,,,
761,739.63873,7,7,0.52,,,,
256.1,205.25926,2,2,0.23,,,,
43.3,47.443146,0,0,1.48,,,,
254,349.93826,2,3,0.52,,,,
451.1,454.2999,4,4,0.23,,,,
789,828.3261,7,8,0.23,,,,
743.7,797.1973,7,8,0.52,,,,
456.2,483.6285,4,4,1.48,,,,
149.7,145.71902,1,1,0.52,,,,
571.2,535.89557,5,5,1.07,,,,
46.4,51.755856,0,0,0.52,,,,
737.2,745.71185,7,7,0.23,,,,
442.2,441.98993,4,4,1.48,,,,
847.1,843.9192,8,8,1.07,,,,
259.1,257.2894,2,2,1.48,,,,
528.7,624.2805,5,6,1.48,,,,
259.9,246.90416,2,2,1.97,,,,
473.7,436.40964,4,4,1.07,,,,
825.3,777.9065,8,7,1.07,,,,
362.9,366.75497,3,3,0.23,,,,
264.4,191.23805,2,2,1.07,,,,
739.8,729.9515,7,7,1.97,,,,
941.3,923.4725,9,9,0.52,,,,
540.5,478.34763,5,4,0.23,,,,
181.2,165.84653,1,1,1.48,,,,
978.8,951.9159,9,9,1.07,,,,
535.8,501.2017,5,5,1.48,,,,
633.7,755.04517,6,7,1.48,,,,
54.4,53.050774,0,0,0.23,,,,
526.5,591.79297,5,5,1.97,,,,
583.8,651.3107,5,6,1.48,,,,
954.1,942.6536,9,9,0.23,,,,
745.8,707.84735,7,7,0.52,,,,
181.2,154.93146,1,1,1.48,,,,
872.5,710.9924,8,7,0.23,,,,
362.7,361.1595,3,3,0.23,,,,
42.3,172.42287,0,1,0.23,,,,
336.8,332.44644,3,3,1.97,,,,
121.9,195.29211,1,1,1.48,,,,
447.1,353.12656,4,3,0.52,,,,
632.2,631.31934,6,6,1.97,,,,
348.5,393.63007,3,4,0.52,,,,
235.6,229.33888,2,2,1.07,,,,
739.8,713.3022,7,7,1.97,,,,
64.6,55.305756,0,0,1.48,,,,
170,143.21854,1,1,0.23,,,,
145.3,121.98119,1,1,1.07,,,,
235.8,203.12633,2,2,0.23,,,,
442.5,483.78925,4,4,1.48,,,,
523,449.56973,5,4,1.07,,,,
855.1,882.8315,8,9,1.48,,,,
754.1,782.02545,7,8,1.07,,,,
157,181.11404,1,1,0.23,,,,
447.1,420.38763,4,4,0.52,,,,
583.8,597.8711,5,6,1.48,,,,
59,55.889275,0,0,1.07,,,,
376.2,348.9358,3,3,1.48,,,,
417.8,399.32968,4,4,1.97,,,,
529.7,588.9277,5,6,1.48,,,,
445.9,367.75363,4,3,0.52,,,,
151.4,149.10626,1,1,1.97,,,,
660.1,648.97217,6,6,1.97,,,,
361.4,391.72086,3,4,0.52,,,,
53.9,106.01579,0,1,1.07,,,,
985.3,951.8675,9,9,1.97,,,,
927.5,950.9499,9,9,1.48,,,,
523,605.66376,5,6,1.07,,,,
259.1,201.24686,2,2,1.48,,,,
448,456.24698,4,4,1.07,,,,
662.7,684.8897,6,6,0.23,,,,
972.4,872.1857,9,8,0.23,,,,
255.4,283.4876,2,2,0.52,,,,
146.9,140.60045,1,1,1.07,,,,
379.8,374.60507,3,3,0.23,,,,
972.4,930.03546,9,9,0.23,,,,
158.9,242.88885,1,2,0.52,,,,
170,151.23051,1,1,0.23,,,,
941.3,811.9908,9,8,0.52,,,,
288.6,283.14426,2,2,0.52,,,,
451.1,447.26547,4,4,0.23,,,,
357.6,347.8701,3,3,0.52,,,,
417.2,439.58743,4,4,1.48,,,,
238.6,299.21744,2,2,0.23,,,,
739.1,841.2089,7,8,0.23,,,,
53.9,144.3827,0,1,1.07,,,,
321.3,339.97818,3,3,1.48,,,,
955.3,948.5481,9,9,1.97,,,,
824.2,874.5286,8,9,1.48,,,,
637.4,591.3204,6,5,0.23,,,,
847.1,892.9788,8,9,1.07,,,,
448,428.9241,4,4,1.07,,,,
259.1,265.52005,2,2,1.48,,,,
151.4,159.49753,1,1,1.97,,,,
739.8,751.1717,7,7,1.97,,,,
543.1,661.12634,5,6,0.52,,,,
640.4,471.54874,6,4,1.48,,,,
718.5,703.387,7,7,1.48,,,,
839.9,752.7501,8,7,0.23,,,,
523,519.8681,5,5,1.07,,,,
238.6,339.7012,2,3,0.23,,,,
968.4,892.8081,9,9,0.52,,,,
571.2,631.9649,5,6,1.07,,,,
366.8,368.13608,3,3,1.07,,,,
241.1,234.449,2,2,1.97,,,,
743.7,739.5136,7,7,0.52,,,,
659.5,603.92975,6,6,1.48,,,,
265.6,250.52704,2,2,1.48,,,,
462.5,378.46957,4,3,0.23,,,,
968.4,927.5847,9,9,0.52,,,,
754.1,735.1731,7,7,1.07,,,,
538.4,519.3122,5,5,1.07,,,,
53.9,49.37744,0,0,1.07,,,,
528,629.3863,5,6,1.97,,,,
528.7,636.551,5,6,1.48,,,,
869,884.6779,8,9,0.52,,,,
824.2,857.30914,8,9,1.48,,,,
52.4,42.643463,0,0,0.52,,,,
152.3,148.32501,1,1,0.52,,,,
166.9,152.49199,1,1,1.97,,,,
137.6,108.16541,1,1,0.52,,,,
848.9,776.09247,8,8,1.48,,,,
756.9,751.4848,7,7,1.07,,,,
762.7,718.10077,7,7,0.52,,,,
442.2,445.9612,4,4,1.48,,,,
264.4,272.2438,2,2,1.07,,,,
889,841.5229,8,8,1.48,,,,
878.1,879.7745,8,9,1.97,,,,
789,801.6944,7,8,0.23,,,,
825.3,755.1486,8,7,1.07,,,,
824.2,876.20734,8,8,1.48,,,,
523,559.6179,5,5,1.07,,,,
54.4,42.99324,0,0,0.23,,,,
651.5,632.54724,6,6,1.48,,,,
451.1,432.53546,4,4,0.23,,,,
978.8,962.6654,9,9,1.07,,,,
46.4,45.9541,0,0,0.52,,,,
635.1,752.86804,6,7,0.23,,,,
358.9,314.40283,3,3,1.97,,,,
973.9,953.6834,9,9,1.07,,,,
452.2,429.72498,4,4,0.23,,,,
265.6,311.34668,2,3,1.48,,,,
673.9,680.0832,6,7,1.07,,,,
148.5,147.46118,1,1,1.07,,,,
59,55.552734,0,0,1.07,,,,
417.8,389.6137,4,3,1.97,,,,
236.5,232.84967,2,2,0.52,,,,
779,770.7631,7,7,0.23,,,,
646.2,592.3557,6,6,1.48,,,,
265.6,254.62141,2,2,1.48,,,,
747,719.5923,7,7,0.52,,,,
